"ID Produto";"Codigo produto";"GTIN";"Descrição Produto";"Depósito";"Balanço";"Preço Unitário";"Preço de Custo";"Observação";"Data"
"16433374577";"16433374577	";"";"Adesivo Microperfurado Impresso";"Fábrica Panambi";"0,0000000000";"720,0000000000";"720,0000000000";""
"16473741190";"16456271075	";"";"AGUA MINERAL VALLE VITA COM GAS";"Fábrica Panambi";"0,0000000000";"4,0000000000";"4,0000000000";""
"16595803538";"16456273911	";"";"AGULHA CABO FINO1515 - DB X 1 - 90/14 - SES";"Fábrica Panambi";"0,0000000000";"2,0000000000";"2,0000000000";""
"16557587699";"16456273074	";"";"AGULHA COSTURA 2091 P BOTAO ELETRONICO";"Fábrica Panambi";"0,0000000000";"26,6100000000";"26,6100000000";""
"16557587692";"16456273073	";"";"AGULHA COSTURA DBX1 1738";"Fábrica Panambi";"0,0000000000";"15,9000000000";"15,9000000000";""
"16557587682";"16456273072	";"7890857081993";"AGULHA DARNING C/20UN N  2/0-9E";"Fábrica Panambi";"0,0000000000";"13,2800000000";"13,2800000000";""
"16580399733";"16456273428	";"";"ALF TRAVIATTA STRIPE 1 PRETO";"Fábrica Panambi";"0,0000000000";"27,8156190476";"27,8156190476";""
"16580401003";"16456273429	";"";"ALF URBAN STRIPE SP CINZA INTENSO";"Fábrica Panambi";"0,0000000000";"19,4439803440";"19,4439803440";""
"16592828503";"16456273812	";"";"ALFAIATARIA ATENAS (003) BRIGHT WHITE";"Fábrica Panambi";"0,0000000000";"8,9600000000";"8,9600000000";""
"16592828485";"16456273811	";"";"ALFAIATARIA ATENAS (004) CREME BRULEE";"Fábrica Panambi";"0,0000000000";"8,9600000000";"8,9600000000";""
"16455138582";"16455138582	";"";"ALFAIATARIA ATENAS (083) IRISH CREAM";"Fábrica Panambi";"-6,0000000000";"16,9900000000";"16,9900000000";""
"16603497687";"16456273946	";"";"ALFAIATARIA ATENAS (384) LINT";"Fábrica Panambi";"0,0000000000";"6,9600000000";"6,9600000000";""
"16455138578";"16455138578	";"";"ALFAIATARIA ATENAS (401) MOONLIGHT BL";"Fábrica Panambi";"0,0000000000";"16,9900000000";"16,9900000000";""
"16455138579";"16455138579	";"";"ALFAIATARIA ATENAS (421) PEACHSKIN";"Fábrica Panambi";"0,0000000000";"16,9900000000";"16,9900000000";""
"16543894597";"16456272474	";"";"ALFAIATARIA DC OT-B4513 PINHO 100% POLIESTER";"Fábrica Panambi";"0,0000000000";"13,9000000000";"13,9000000000";""
"16543894572";"16456272472	";"";"ALFAIATARIA DC OT3933 - CHUMBO 100% POLIESTER";"Fábrica Panambi";"0,0000000000";"13,9000000000";"13,9000000000";""
"16543894585";"16456272473	";"";"ALFAIATARIA DC OT3933 - MARINHO 100% POLIESTER";"Fábrica Panambi";"0,0000000000";"13,9000000000";"13,9000000000";""
"16508385467";"16456271935	";"";"ALFAIATARIA DC* NE6112 - CHUMBO 100% POLIESTER";"Fábrica Panambi";"0,0000000000";"14,9000000000";"14,9000000000";""
"16603497999";"16456273947	";"";"ALFAIATARIA GENEBRA PERLATTO - 77% POLIESTER 19% VISCOSE 4% ELASTANO";"Fábrica Panambi";"0,0000000000";"22,9000000000";"22,9000000000";""
"16608855079";"16456274106	";"";"ALFAIATARIA GENEBRA WALNUT - 77% POLIESTER 19% VISCOSE 4% ELASTANO";"Fábrica Panambi";"0,0000000000";"22,9000000000";"22,9000000000";""
"16554792283";"16456272882	";"";"ALFAIATARIA LEONI STRETCH .";"Fábrica Panambi";"0,0000000000";"18,9310000000";"18,9310000000";""
"16554792285";"16456272883	";"";"ALFAIATARIA MANCHESTER STRETCH .";"Fábrica Panambi";"0,0000000000";"18,9310000000";"18,9310000000";""
"16554792287";"16456272884	";"";"ALFAIATARIA MANCHESTER STRETCH .";"Fábrica Panambi";"0,0000000000";"18,9310000000";"18,9310000000";""
"16554792290";"16456272885	";"";"ALFAIATARIA MANCHESTER STRETCH .";"Fábrica Panambi";"0,0000000000";"18,9310000000";"18,9310000000";""
"16491576198";"16456271301	";"";"ALFAIATARIA ROCHESTER DOBBY";"Fábrica Panambi";"0,0000000000";"22,9000000000";"22,9000000000";""
"16514737683";"16456272103	";"";"ALFAIATARIA SENSORIALE, 067, PÊSSEGO";"Fábrica Panambi";"0,0000000000";"16,9000000000";"16,9000000000";""
"16514737684";"16456272104	";"";"ALFAIATARIA SENSORIALE, 076, DUNA";"Fábrica Panambi";"0,0000000000";"16,9000000000";"16,9000000000";""
"16432718533";"16432718533	";"";"ALFAIATARIA VENETO";"Fábrica Panambi";"0,0000000000";"12,9000000000";"12,9000000000";""
"16537284680";"16456272385	";"";"Alpargata (21, Nobuck)";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16586863519";"16456273455	";"";"ALPARGATA ADULTA COURO";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16586863671";"16456273517	";"";"ALPARGATA ADULTA TECIDO";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16586863655";"16456273507	";"";"ALPARGATA ADULTA TECIDO";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16586863651";"16456273506	";"";"ALPARGATA ADULTA TECIDO";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925612";"16448925612	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:33";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925613";"16448925613	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:34";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925614";"16448925614	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925615";"16448925615	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925617";"16448925617	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448925618";"16448925618	";"";"ALPARGATA COM CADARÇO COR:BRANCO;TAMANHO:38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
